Anno,1h,3h,6h,12h,24h
1919,,,,,
1920,,,,,
1921,,,,,
1922,,,,,
1923,,,,,
1924,,,,,
1925,,,,,
1926,,,,,
1927,,,,,
1928,,,,,
1929,,,,,
1930,,,,,
1931,,,,,
1932,,,,,
1933,,,,,
1934,,,,,
1935,,,,,
1936,,,,,
1937,,,,,
1938,,,,,
1939,26.2,32.0,40.2,40.6,47.4
1940,16.4,26.6,41.0,50.0,74.0
1941,11.0,14.0,20.0,22.8,36.6
1942,14.0,32.4,40.4,60.6,105.0
1943,17.0,19.4,19.4,25.0,29.0
1944,,,,,
1945,,,,,
1946,,,,,
1947,,,,,
1948,,,,,
1949,20.0,25.0,33.6,33.8,64.1
1950,,,,,
1951,,,,,
1952,,,,,
1953,,,,,
1954,,,,,
1955,11.8,16.2,19.4,26.8,36.0
1956,13.0,25.0,40.2,77.0,96.6
1957,20.0,25.4,28.0,49.0,76.0
1958,17.2,20.0,27.0,42.0,56.4
1959,12.0,23.4,35.0,57.4,97.0
1960,13.2,22.2,37.4,61.0,102.0
1961,,,,,
1962,9.2,19.0,27.4,,100.0
1963,13.8,21.2,24.6,46.0,60.6
1964,,,,,
1965,,,,,
1966,,,,,
1967,,,,,
1968,11.4,22.4,40.0,64.8,91.8
1969,7.2,15.0,16.6,31.6,39.8
1970,,,,,
1971,20.8,21.8,32.4,50.4,74.2
1972,,,,,
1973,,,,,
1974,,,,,
1975,,,,,
1976,,,,,
1977,12.2,23.4,36.2,52.8,73.4
1978,16.4,24.0,33.0,64.0,79.0
1979,11.4,24.2,39.2,67.0,103.0
1980,10.2,25.0,40.0,67.0,112.6
1981,9.6,23.2,40.0,70.4,99.2
1982,12.8,20.4,27.8,39.2,46.2
1983,14.6,29.8,32.2,62.8,90.6
1984,11.8,18.2,31.2,45.8,70.4
1985,12.8,22.8,28.0,36.0,39.2
1986,10.0,19.4,33.6,66.4,132.6
1987,14.2,28.0,43.6,69.0,93.0
1988,14.6,25.4,41.6,55.8,77.4
1989,17.6,27.0,41.0,64.0,95.8
1990,13.0,24.8,30.0,53.4,55.8
1991,13.2,34.2,63.0,93.2,122.8
1992,15.6,32.8,41.2,64.4,89.4
1993,15.0,34.8,56.8,99.0,118.4
1994,19.4,34.0,39.4,57.2,75.4
1995,26.0,33.0,40.6,46.0,54.8
1996,12.2,24.6,38.8,59.6,77.0
1997,14.2,23.8,42.2,56.8,69.6
1998,11.6,27.6,49.0,73.6,104.6
1999,27.4,31.8,52.0,89.4,102.0
2000,15.4,28.4,37.4,54.6,73.8
2001,,,,,
2002,,,,,
2003,,,,,
2004,,,,,
2005,,,,,
2006,,,,,
2007,12.6,32.2,43.8,48.6,57.0
2008,40.0,50.8,61.2,83.4,91.8
2009,,,,,
2010,,,,,
