Anno,15min,30min,45min,1ora,3ore,6ore,12ore,24ore,1giorno,2giorni,3giorni,4giorni,5giorni
1919,,,,,,,,,,,,,
1920,,,,,,,,,,,,,
1921,,,,,,,,,,,,,
1922,,,,,,,,,,,,,
1923,,,,,,,,,,,,,
1924,,,,,,,,,,,,,
1925,,,,,,,,,,,,,
1926,,,,,,,,,,,,,
1927,,,,,,,,,,,,,
1928,,,,,,,,,,,,,
1929,,,,,,,,,,,,,
1930,,,,,,,,,,,,,
1931,,,,,,,,,,,,,
1932,,,,,,,,,,,,,
1933,,,,,,,,,,,,,
1934,,,,,,,,,,,,,
1935,,,,,,,,,,,,,
1936,,,,,,,,,,,,,
1937,,,,,,,,,,,,,
1938,,,,,,,,,,,,,
1939,,,,26.2,32.0,40.2,40.6,47.4,,,,,
1940,,,,16.4,26.6,41.0,50.0,74.0,,,,,
1941,,,,11.0,14.0,20.0,22.8,36.6,,,,,
1942,,,,14.0,32.4,40.4,60.6,105.0,,,,,
1943,,,,17.0,19.4,19.4,25.0,29.0,,,,,
1944,,,,,,,,,,,,,
1945,,,,,,,,,,,,,
1946,,,,,,,,,,,,,
1947,,,,,,,,,,,,,
1948,,,,,,,,,,,,,
1949,,,,20.0,25.0,33.6,33.8,64.1,,,,,
1950,,,,,,,,,,,,,
1951,,,,,,,,,,,,,
1952,,,,,,,,,,,,,
1953,,,,,,,,,,,,,
1954,,,,,,,,,,,,,
1955,,,,11.8,16.2,19.4,26.8,36.0,,,,,
1956,8.6,9.6,,13.0,25.0,40.2,77.0,96.6,,,,,
1957,,,,20.0,25.4,28.0,49.0,76.0,,,,,
1958,9.0,14.0,,17.2,20.0,27.0,42.0,56.4,,,,,
1959,,,,12.0,23.4,35.0,57.4,97.0,,,,,
1960,,8.8,,13.2,22.2,37.4,61.0,102.0,,,,,
1961,,,,,,,,,,,,,
1962,8.4,,,9.2,19.0,27.4,,100.0,,,,,
1963,,,,13.8,21.2,24.6,46.0,60.6,,,,,
1964,,,,,,,,,,,,,
1965,,,,,,,,,,,,,
1966,,,,,,,,,,,,,
1967,,,,,,,,,,,,,
1968,6.2,9.2,10.0,11.4,22.4,40.0,64.8,91.8,,,,,
1969,4.8,5.8,6.6,7.2,15.0,16.6,31.6,39.8,,,,,
1970,,,,,,,,,,,,,
1971,20.8,,,20.8,21.8,32.4,50.4,74.2,,,,,
1972,,,,,,,,,,,,,
1973,,,,,,,,,,,,,
1974,,,,,,,,,,,,,
1975,,,,,,,,,47.0,83.6,87.8,96.8,103.8
1976,,,,,,,,,78.8,125.8,126.4,142.6,145.0
1977,5.2,6.4,,12.2,23.4,36.2,52.8,73.4,53.0,77.6,79.4,90.8,95.4
1978,10.0,11.0,,16.4,24.0,33.0,64.0,79.0,78.8,116.2,118.6,138.0,140.0
1979,10.8,11.0,11.0,11.4,24.2,39.2,67.0,103.0,103.0,123.0,140.0,158.6,168.4
1980,10.2,10.2,10.2,10.2,25.0,40.0,67.0,112.6,77.6,154.6,158.0,161.2,164.6
1981,4.4,6.8,,9.6,23.2,40.0,70.4,99.2,99.2,106.8,112.2,112.2,116.4
1982,8.6,10.2,11.0,12.8,20.4,27.8,39.2,46.2,43.4,60.8,76.0,76.4,76.4
1983,8.2,10.8,12.0,14.6,29.8,32.2,62.8,90.6,75.2,123.2,148.8,162.4,169.6
1984,6.8,8.4,10.2,11.8,18.2,31.2,45.8,70.4,69.0,74.8,76.4,76.8,78.8
1985,9.8,10.8,11.6,12.8,22.8,28.0,36.0,39.2,39.0,54.4,74.6,91.4,91.4
